oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
629103400010558,262534980,2460379.8537359005,60379.3498032,17.752272,0.025979,32768,zg,217.5668572,23.0624098,2.741,0.027,20240310349792,629,3,4,21.07,26.290379,0.037362568,-0.1475221,3.82041e-05,30.0,1.237,1
629103400010558,263441473,2460388.9190632547,60388.4147338,17.685575,0.025122294,0,zg,217.566898,23.0623977,1.956,0.034,20240319414572,629,3,4,20.87,26.442455,0.0402092,-0.14029849,4.6025445e-05,30.0,1.017,1
629103400010558,263738702,2460391.8914631093,60391.3870255,17.743435,0.025862291,0,zg,217.5669051,23.0624204,2.4,0.08,20240322387025,629,3,4,20.45,26.445063,0.03824553,-0.12396764,5.0132225e-05,30.0,1.037,1
629103400010558,264238349,2460396.8880894347,60396.3834954,17.659893,0.024806919,0,zg,217.5668516,23.0623318,1.141,-0.036,20240327383472,629,3,4,19.88,26.458796,0.04605346,-0.12887494,0.000111338,30.0,1.025,1
629103400010558,264434408,2460398.8487321213,60398.3440856,17.63757,0.024539143,0,zg,217.5668789,23.0623215,1.744,0.028,20240329344074,629,3,4,20.31,26.42394,0.038977847,-0.1110657,5.8248414e-05,30.0,1.081,1
629103400010558,265041671,2460404.9214896327,60404.416713,17.777643,0.026319662,0,zg,217.5668843,23.0623524,3.949,0.068,20240404416678,629,3,4,21.64,26.441658,0.028870432,-0.11952858,2.0712941e-05,30.0,1.015,1
629103400010558,265433740,2460408.8422413967,60408.3374074,17.671732,0.024951315,0,zg,217.5668996,23.062425,2.907,0.058,20240408337407,629,3,4,21.27,26.406586,0.03471661,-0.13683487,3.0788844e-05,30.0,1.042,1
629103400010558,265934063,2460413.845512984,60413.3406366,17.734772,0.02574884,32768,zg,217.5669193,23.0624004,3.315,-0.019,20240413340637,629,3,4,21.56,26.440489,0.02971655,-0.15174215,2.2147678e-05,30.0,1.022,1
629103400010558,266342305,2460417.927940906,60417.4230556,17.765945,0.026161557,0,zg,217.5668618,23.0623413,3.622,0.247,20240417423044,629,3,4,21.49,26.4126,0.031237049,-0.11020015,2.4494406e-05,30.0,1.071,1
629103400010558,266532186,2460419.826745054,60419.3218634,17.737814,0.025788572,0,zg,217.5669211,23.062322,2.589,0.095,20240419321863,629,3,4,20.77,26.443151,0.037127364,-0.12554249,4.02376e-05,30.0,1.024,1
629103400010558,266734869,2460421.853564396,60421.3486921,17.794653,0.02655275,0,zg,217.566892,23.0623563,2.0,0.183,20240421348681,629,3,4,20.44,26.40915,0.045196563,-0.115205176,7.667218e-05,30.0,1.008,1
629103400010558,266929960,2460423.8044644883,60423.2996065,17.82406,0.026964806,0,zg,217.5668863,23.0623906,2.794,0.268,20240423299572,629,3,4,20.19,26.431667,0.041996896,-0.1126602,7.543717e-05,30.0,1.037,1
629103400010558,267735480,2460431.8595477967,60431.3548032,17.731773,0.025709797,32768,zg,217.5668986,23.0623318,4.461,0.106,20240501354722,629,3,4,21.71,26.465223,0.029638909,-0.15211186,2.2081196e-05,30.0,1.025,1
629103400010558,268032964,2460434.834322075,60434.3296412,17.69984,0.02530091,32768,zg,217.5669064,23.0624108,4.583,0.117,20240504329630,629,3,4,21.69,26.417925,0.03229084,-0.14486183,2.6199716e-05,30.0,1.012,1
629103400010558,268329725,2460437.8018626818,60437.2972569,17.716434,0.025511812,0,zg,217.5669199,23.0624296,2.728,0.049,20240507297257,629,3,4,21.26,26.449339,0.029933607,-0.13680987,2.3447028e-05,30.0,1.009,1
629103400010558,268431703,2460438.821614356,60438.317037,17.742077,0.025844447,32768,zg,217.5669202,23.0623896,2.826,-0.045,20240508317037,629,3,4,21.35,26.446583,0.034024335,-0.15837288,2.9592618e-05,30.0,1.011,1
629103400010558,268634415,2460440.8486720133,60440.3441551,17.787735,0.026457496,0,zg,217.5668881,23.0624022,1.902,0.062,20240510344144,629,3,4,21.0,26.411829,0.042472616,-0.11314492,5.134763e-05,30.0,1.042,1
629103400010558,268834305,2460442.8475078815,60442.3430556,17.735607,0.025759742,0,zg,217.5669214,23.0624022,4.322,0.179,20240512343056,629,3,4,21.19,26.424868,0.03956658,-0.123533174,4.0898736e-05,30.0,1.049,1
629103400010558,269036041,2460444.864798768,60444.3604167,17.712921,0.025466861,0,zg,217.5669063,23.0623662,4.843,0.306,20240514360382,629,3,4,21.81,26.406006,0.028240155,-0.11276682,2.0114092e-05,30.0,1.097,1
629103400010558,269236737,2460446.871680058,60446.3673727,17.658266,0.024787202,0,zg,217.5669472,23.0623649,2.922,0.036,20240516367361,629,3,4,21.0,26.3579,0.036152497,-0.10486665,3.532831e-05,30.0,1.132,1
629103400010558,269434563,2460448.8498656848,60448.3456366,17.731503,0.025706278,0,zg,217.5669393,23.0623851,3.242,0.14,20240518345637,629,3,4,20.75,26.367558,0.03519179,-0.10206165,3.6531263e-05,30.0,1.087,1
629103400010558,269634122,2460450.845372445,60450.3412269,17.607508,0.02418765,0,zg,217.5668709,23.0623729,1.221,0.054,20240520341215,629,3,4,19.83,26.362223,0.043884292,-0.080689915,0.00011134635,30.0,1.09,1
629103400010558,269830959,2460452.8136536647,60452.3095949,17.859283,0.027473826,0,zg,217.5669358,23.0623356,2.415,0.338,20240522309595,629,3,4,20.32,26.304157,0.039499756,-0.06691827,6.163452e-05,30.0,1.039,1
629103400010558,270631149,2460460.815156102,60460.3114931,17.68771,0.02514887,0,zg,217.5669419,23.0623488,3.894,0.15,20240530311481,629,3,4,21.35,26.369478,0.030683452,-0.124917924,2.4065812e-05,30.0,1.084,1
629103400010558,270828864,2460462.792200929,60462.2886458,17.827536,0.027014267,0,zg,217.5668961,23.0623545,5.16,0.675,20240601288646,629,3,4,22.02,26.387869,0.027879862,-0.10821642,1.9312693e-05,30.0,1.049,1
